State,Y2018,Y2019,Y2020
Selangor,30.2,33.6,19.7
W.P.Kuala Lumpur,19.2,22.6,12.4
Sarawak,19.4,19.8,9.4
Perak,17.6,21.1,13.2
Pahang,18.1,18.5,9.9
Sabah,20.4,22,10.3
Johor,13.5,14.3,7.2
Pulau Pinang,14.5,15.4,8.9
Melaka,13.1,14,7.3
Kedah,14.5,14.8,10.1
Terengganu,13.7,14.2,7.4
N.Sembilan,12.8,13.3,7.9
Kelantan,9.8,11,6.1
Perlis,2.2,2.1,1.2
W.P.Putrajava,1.9,1.9,0.5
W.P.Labuan,0.5,0.5,0.1
