State,Y2018,Y2019,Y2020
Selangor,13.2,15.5,7.1
W.P.Kuala Lumpur,10.2,12.1,5.3
Sarawak,8.1,8.7,3.4
Perak,6.5,7.8,3.3
Pahang,7.4,7.6,2.7
Sabah,7.5,8.1,2.7
Johor,6.7,7.4,2.4
Pulau Pinang,6.2,6.7,2.4
Melaka,5.6,6.4,2.4
Kedah,4.7,5.2,2.3
Terengganu,5.6,6,2.3
N.Sembilan,4.8,5.1,2.2
Kelantan,4,4.8,1.6
Perlis,0.6,0.6,0.2
W.P.Putrajava,1,0.8,0.1
W.P.Labuan,0.4,0.4,0.1
